,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,1561512164,-34.42,19.24,57.99,87,61,5.99
1,Bonthe,SL,1561512165,7.53,-12.5,78.04,90,32,5.03
2,Tasiilaq,GL,1561512165,65.61,-37.64,41.0,80,5,8.05
3,Qaanaaq,GL,1561512165,77.48,-69.36,35.38,78,86,4.74
4,Codrington,AU,1561512165,-28.95,153.24,62.6,82,75,9.17
5,Suluq,LY,1561512165,31.67,20.25,76.6,79,0,13.13
6,Cape Town,ZA,1561512008,-33.93,18.42,59.0,87,0,5.82
7,Semey,KZ,1561512166,50.41,80.25,63.46,60,2,5.57
8,Humaita,AR,1561512166,-24.93,-65.37,46.4,80,75,6.55
9,Punta Arenas,CL,1561512166,-53.16,-70.91,32.0,94,90,6.93
10,Foix,FR,1561512167,42.97,1.61,73.99,73,0,16.11
11,Port Moresby,PG,1561512167,-9.47,147.16,82.4,78,75,11.41
12,Chimbote,PE,1561512167,-9.08,-78.59,62.2,90,55,12.97
13,Tuktoyaktuk,CA,1561512168,69.44,-133.03,39.2,86,90,19.46
14,Necochea,AR,1561512081,-38.55,-58.74,41.0,89,14,4.0
15,Rikitea,PF,1561512168,-23.12,-134.97,73.0,82,3,8.34
16,Hilo,US,1561512168,19.71,-155.08,87.8,48,1,19.46
17,Cefalu,IT,1561512169,38.04,14.02,78.01,62,0,1.99
18,Mataura,NZ,1561512169,-46.19,168.86,51.01,68,48,8.01
19,Ushuaia,AR,1561511961,-54.81,-68.31,30.2,86,40,6.93
20,Busselton,AU,1561511971,-33.64,115.35,59.0,85,12,29.51
21,Atuona,PF,1561512169,-9.8,-139.03,81.28,76,1,17.34
22,Lata,IN,1561512170,30.78,78.62,39.16,92,91,1.03
23,Quelimane,MZ,1561512123,-17.88,36.89,66.2,93,40,2.86
24,Horsham,AU,1561512170,-36.71,142.2,47.98,81,1,11.92
25,Kapaa,US,1561512170,22.08,-159.32,82.4,78,90,10.29
26,Bredasdorp,ZA,1561512171,-34.53,20.04,60.8,77,82,12.75
27,Vestmannaeyjar,IS,1561512171,63.44,-20.27,50.0,100,90,17.22
28,Ribeira Grande,PT,1561512171,38.52,-28.7,65.8,74,8,15.73
29,Saint-Philippe,CA,1561512172,45.36,-73.48,75.2,94,1,5.82
30,Tiksi,RU,1561512172,71.64,128.87,57.7,55,12,4.25
31,New Norfolk,AU,1561512172,-42.78,147.06,51.8,57,0,8.05
32,Nikolskoye,RU,1561512172,59.7,30.79,59.0,58,0,4.47
33,Aden,YE,1561512172,12.79,45.03,90.82,47,50,15.77
34,Coihaique,CL,1561512173,-45.58,-72.07,39.2,86,90,8.05
35,Coolum Beach,AU,1561512173,-26.53,153.09,61.0,98,71,5.01
36,Albany,US,1561511994,42.65,-73.75,75.2,69,40,3.36
37,Siderno,IT,1561512174,38.28,16.3,78.8,65,5,4.7
38,Kirakira,SB,1561512174,-10.46,161.92,83.8,73,33,4.27
39,Kahului,US,1561512174,20.89,-156.47,89.6,46,40,9.17
40,Kaitangata,NZ,1561512175,-46.28,169.85,53.01,53,1,5.99
41,Evensk,RU,1561512175,61.92,159.24,64.36,39,0,15.46
42,Namatanai,PG,1561512175,-3.66,152.44,81.46,77,100,11.99
43,Hithadhoo,MV,1561512175,-0.6,73.08,83.98,68,49,3.36
44,Bluff,AU,1561512175,-23.58,149.07,65.62,69,0,19.51
45,Talnakh,RU,1561512176,69.49,88.39,39.2,59,75,8.95
46,Arraial do Cabo,BR,1561512176,-22.97,-42.02,74.98,81,0,7.14
47,Karratha,AU,1561512053,-20.74,116.85,70.3,24,66,5.1
48,Plouzane,FR,1561512176,48.38,-4.62,61.0,93,0,6.93
49,Yellowknife,CA,1561512177,62.45,-114.38,73.4,27,40,6.93
50,Lompoc,US,1561512177,34.64,-120.46,68.0,72,1,13.87
51,Swan River,CA,1561512177,52.11,-101.27,59.86,88,73,4.5
52,Kingaroy,AU,1561512177,-26.54,151.84,57.99,87,90,14.99
53,Ufimskiy,RU,1561512178,56.71,58.05,44.56,97,0,1.5
54,Nelson Bay,AU,1561512178,-32.72,152.14,64.99,48,0,11.41
55,Lebu,ET,1561512179,8.96,38.73,62.6,63,40,2.57
56,Xining,CN,1561512179,36.62,101.77,50.32,98,100,3.6
57,Pochutla,MX,1561512179,15.74,-96.47,84.2,66,40,3.36
58,Mar del Plata,AR,1561512180,-46.43,-67.52,42.04,57,74,17.02
